Time(s), Acceleration_X, Acceleration_Y, Acceleration_Z, Gyro_X(dps), Gyro_Y(dps), Gyro_Z(dps), Magnetometer_X, Magnetometer_Y, Magnetometer_Z
51.63206244,-0.123779297,0.135986328,-1.148193359,8.575439453,-2.990722656,31.00585938,-7.885851648,17.92239011,25.57161935
51.64219761,-0.112548828,0.119628906,-1.138671875,4.241943359,-5.981445313,29.20532227,-7.885851648,17.92239011,25.57161935
51.6523242,-0.131835938,0.12109375,-1.131591797,-1.892089844,-9.857177734,31.15844727,-7.885851648,17.92239011,25.57161935
51.66248083,-0.149414063,0.093017578,-1.12109375,-7.293701172,-7.873535156,38.84887695,-7.885851648,17.92239011,25.57161935
51.67260361,-0.11328125,0.116210938,-1.1015625,-15.31982422,-5.554199219,39.00146484,-7.885851648,17.92239011,25.57161935
51.68278623,-0.115966797,0.114746094,-1.12890625,-22.58300781,-7.080078125,45.28808594,-8.065075549,18.10161401,25.39883814
51.69292951,-0.122558594,0.161132813,-1.097900391,-26.82495117,-7.141113281,49.95727539,-8.244299451,18.28083791,26.60830662
51.70308661,-0.136230469,0.169921875,-1.084716797,-25.1159668,-1.831054688,48.46191406,-8.961195055,16.8470467,26.95386905
51.71321797,-0.114990234,0.165771484,-1.104736328,-19.31762695,2.136230469,43.45703125,-8.065075549,19.17695742,25.39883814
51.72334552,-0.107666016,0.145019531,-1.12109375,-16.72363281,2.197265625,40.43579102,-8.781971154,17.74316621,26.43552541
51.73350978,-0.129394531,0.131103516,-1.104736328,-14.46533203,4.821777344,37.71972656,-8.781971154,17.74316621,26.43552541
51.74364114,-0.088867188,0.156005859,-1.100341797,-8.605957031,9.521484375,33.96606445,-8.781971154,17.74316621,26.43552541
51.7537756,-0.138183594,0.178710938,-1.100341797,-3.936767578,13.00048828,31.46362305,-8.781971154,17.74316621,26.43552541
51.76390195,-0.179931641,0.180664063,-1.132324219,-4.241943359,22.91870117,30.48706055,-8.781971154,17.74316621,26.43552541
51.77403331,-0.145507813,0.196289063,-1.183349609,-2.716064453,24.4140625,24.01733398,-8.781971154,17.74316621,26.43552541
51.78420353,-0.12109375,0.192626953,-1.166992188,1.800537109,22.36938477,17.18139648,-6.810508242,17.56394231,25.91718178
51.79434395,-0.11328125,0.193359375,-1.122314453,0.885009766,23.25439453,15.22827148,-8.244299451,19.35618132,25.91718178
51.80457687,-0.057617188,0.181152344,-1.113037109,2.563476563,22.36938477,10.31494141,-10.03653846,17.56394231,27.64499389
51.81470156,-0.034423828,0.175292969,-1.104492188,9.918212891,18.34106445,4.821777344,-8.065075549,19.53540522,26.08996299
51.82483816,-0.046630859,0.173339844,-1.083007813,15.16723633,16.23535156,0.213623047,-9.678090659,18.28083791,24.88049451
51.83496356,-0.07421875,0.16796875,-1.089111328,19.53125,18.98193359,-4.821777344,-9.678090659,18.28083791,24.88049451
51.84509778,-0.093261719,0.155517578,-1.102294922,21.24023438,23.40698242,-6.530761719,-9.678090659,18.28083791,24.88049451
51.85521865,-0.104736328,0.156738281,-1.094482422,21.78955078,29.44946289,-5.401611328,-9.678090659,18.28083791,24.88049451
51.86534858,-0.099121094,0.169189453,-1.129150391,20.20263672,32.10449219,-5.615234375,-9.678090659,18.28083791,24.88049451
51.87550879,-0.095703125,0.167480469,-1.150878906,18.00537109,31.34155273,-8.972167969,-9.678090659,18.28083791,24.88049451
51.88567805,-0.084716797,0.162841797,-1.167480469,15.25878906,28.5949707,-6.683349609,-10.03653846,18.63928571,24.88049451
51.89581156,-0.093261719,0.166748047,-1.145996094,14.09912109,27.74047852,-7.781982422,-8.602747253,18.63928571,23.84380723
51.90597439,-0.052978516,0.153808594,-1.158203125,12.60375977,23.95629883,-10.00976563,-10.75343407,18.63928571,26.2627442
51.91610003,-0.031738281,0.134277344,-1.118408203,9.216308594,16.35742188,-11.62719727,-9.498866758,20.61074863,26.08996299
51.92623043,-0.050537109,0.128417969,-1.075927734,7.507324219,18.89038086,-15.38085938,-10.57421016,18.46006181,23.67102602
51.93635726,-0.026123047,0.127197266,-1.102783203,8.148193359,19.65332031,-18.89038086,-10.57421016,18.46006181,23.67102602
51.94648218,-0.041259766,0.118652344,-1.065917969,9.582519531,21.94213867,-20.35522461,-10.57421016,18.46006181,23.67102602
51.95661044,-0.010742188,0.123291016,-1.083007813,14.06860352,25.90942383,-13.36669922,-10.57421016,18.46006181,23.67102602
51.96675968,-0.025634766,0.123535156,-1.098632813,14.00756836,24.74975586,-6.439208984,-10.57421016,18.46006181,23.67102602
51.97688818,-0.019042969,0.132080078,-1.118164063,11.77978516,23.74267578,-5.554199219,-10.57421016,18.46006181,23.67102602
51.98704839,-0.023681641,0.141845703,-1.130859375,12.90893555,21.42333984,-7.232666016,-11.47032967,18.63928571,25.57161935
51.99718261,-0.0234375,0.145996094,-1.17578125,13.79394531,16.99829102,-10.13183594,-11.82877747,20.07307692,24.53493208
52.00746441,-0.025878906,0.141113281,-1.173095703,14.46533203,11.38305664,-14.31274414,-12.72489698,18.10161401,22.63433875
